period,scheme,run,prr,pir_ms,collision_frac,pssch_fail_frac,lat_p50_ms,lat_p95_ms,within_pdb,sel_count,backoff_frac,backoff_steps_mean,hd_excl_frac,rsrp_excl_frac
100.0,random,1.0,0.6786842105263158,159.11038826511808,0.3876,0.33176141369124734,10.173030999999888,111.42010099999933,0.7816207832493215,,,,,
100.0,random,2.0,0.6928947368421052,154.85343159461013,0.416,0.3494267641826448,8.39915400000013,112.57500199999981,0.8012913026965439,,,,,
100.0,random,3.0,0.6493684210526316,173.96815104983463,0.4264,0.3754176369342918,10.896788999999796,114.89384100000066,0.754093045874534,,,,,
100.0,random,4.0,0.6598947368421053,170.22158511253758,0.4266,0.36915723270440254,9.473758000000387,111.7214071499998,0.8005263997447759,,,,,
100.0,random,5.0,0.7095263157894737,150.64613456091018,0.3836,0.3241929015440144,9.204930000000111,109.9713910000002,0.8187078109932497,,,,,
100.0,sensing,1.0,0.8143157894736842,124.44613490181278,0.2112,0.15890187550964935,9.420100999999903,30.308070000000242,0.9265124095139607,105.0,0.0380952380952381,0.4380952380952381,0.29912554765495936,0.41300292300292296
100.0,sensing,2.0,0.8736842105263158,116.67958353956183,0.1428,0.0987567186057875,8.073114000000103,19.1834980000003,0.9536144578313253,104.0,0.0,0.0,0.28478506787330327,0.3830923518883077
100.0,sensing,3.0,0.8578947368421053,119.95073875273675,0.1398,0.10473993518976218,8.126769000000422,25.592934999999706,0.9089570552147239,103.0,0.0,0.0,0.2912569060484539,0.37301322321310904
100.0,sensing,4.0,0.8490526315789474,119.84200616665032,0.168,0.12705627705627706,9.09420900000013,25.56328299999988,0.9356558393255641,112.0,0.044642857142857144,0.6339285714285714,0.29602658371040724,0.40212872262832866
100.0,sensing,5.0,0.8308421052631579,126.09079668637662,0.164,0.1338746845166246,8.566334000000175,24.407504000000024,0.9092867097428101,107.0,0.009345794392523364,0.09345794392523364,0.2999397638278892,0.3879905536327335
20.0,random,1.0,0.06965263157894737,666.2617152794077,0.94408,0.8340730710398957,25.60679300000057,165.25110220000016,0.4848118482696086,,,,,
20.0,random,2.0,0.062189473684210524,603.8404881036321,0.94256,0.8590312574564543,10.618097000000049,157.63538999999938,0.5688896411645227,,,,,
20.0,random,3.0,0.09675789473684211,729.8350812590014,0.93888,0.8042631119439535,5.857338000000212,123.89678900000067,0.7211705831157529,,,,,
20.0,random,4.0,0.048231578947368424,737.7914617585974,0.94696,0.8886945537579556,26.487134999999995,154.66583359999944,0.48035792230467045,,,,,
20.0,random,5.0,0.06328421052631579,712.848094923507,0.94308,0.8647773279352227,10.386458999999792,163.30151400000003,0.5372588157019295,,,,,
20.0,sensing,1.0,0.19109473684210526,157.44189777890577,0.8659932298103272,0.6651912507838147,11.876194000000062,150.173031,0.5799272887517902,104.0,0.8653846153846154,14.048076923076923,0.3865918803418803,0.5333962912087913
20.0,sensing,2.0,0.1546421052631579,199.3514709140731,0.8874067850015754,0.7306923796080732,11.618097000000382,157.97480700000023,0.5505411476414132,106.0,0.8867924528301887,15.88679245283019,0.396417340521114,0.4943096735549566
20.0,sensing,3.0,0.18221052631578946,165.45510356327273,0.8584579976985041,0.6771666759917193,9.893841000000236,145.59810800000017,0.6095320623916811,106.0,0.7830188679245284,13.377358490566039,0.35394953578915844,0.49477294848757114
20.0,sensing,4.0,0.1616736842105263,210.45224845341244,0.8548333333333333,0.7066205684596577,16.70736099999992,151.66519899999997,0.5423530177745947,112.0,0.9017857142857143,15.616071428571429,0.41303500566893425,0.4709458262471655
20.0,sensing,5.0,0.18330526315789475,154.6375252309166,0.8735638442689899,0.6812374153395571,11.301513999999901,150.20567899999992,0.5758010795911336,108.0,0.8055555555555556,13.851851851851851,0.37398956496178704,0.48741457231040564
40.0,random,1.0,0.3416421052631579,161.07947823234872,0.72512,0.6048120007792713,11.876194000000062,124.52356749999981,0.611658861227508,,,,,
40.0,random,2.0,0.3235578947368421,170.9553825818737,0.74312,0.6376517741365083,10.720581999999812,125.88549700000016,0.6041382002732774,,,,,
40.0,random,3.0,0.29774736842105265,178.30614342585372,0.7232,0.6387484035759898,12.356441000000551,126.59293499999968,0.5561054938839002,,,,,
40.0,random,4.0,0.34768421052631576,130.42769843227538,0.72896,0.6053480536239156,10.707360999999693,123.66519900000009,0.6324553436270057,,,,,
40.0,random,5.0,0.3201684210526316,176.3257312869488,0.72792,0.6217574054269157,11.301514000000346,124.60201129999992,0.6088243029984218,,,,,
40.0,sensing,1.0,0.43749473684210527,101.86388766294127,0.6626621816434407,0.4968159035327732,12.876193999999508,122.17303099999998,0.6560800731437371,126.0,0.8333333333333334,12.261904761904763,0.30673305647045146,0.6145601009440296
40.0,sensing,2.0,0.4263157894736842,119.62641418873649,0.6521077095688411,0.5309025203854707,10.61809699999916,124.7776009999999,0.6159012345679012,135.0,0.8518518518518519,13.57037037037037,0.2989858906525573,0.6102444673155457
40.0,sensing,3.0,0.42894736842105263,100.96378361708602,0.65616,0.5173287849714543,12.245520000000454,122.89084900000003,0.6319018404907976,131.0,0.8244274809160306,12.603053435114504,0.3049656151362483,0.589168538329405
40.0,sensing,4.0,0.43105263157894735,109.00236939308603,0.66016,0.5121282882195959,13.039920000000205,124.3885415000002,0.6234920634920635,140.0,0.8357142857142857,12.821428571428571,0.30729801535999,0.6047541373775618
40.0,sensing,5.0,0.44250526315789473,103.12514203845637,0.652,0.5003328103456474,9.878561999999924,122.38645900000034,0.6552167086921357,134.0,0.835820895522388,13.082089552238806,0.3125052259709854,0.6016151466327059
