,,prr,prr,pir_ms,pir_ms,collision_frac,collision_frac,pssch_fail_frac,pssch_fail_frac,lat_p50_ms,lat_p50_ms,lat_p95_ms,lat_p95_ms,within_pdb,within_pdb,sel_count,sel_count,backoff_frac,backoff_frac,backoff_steps_mean,backoff_steps_mean,hd_excl_frac,hd_excl_frac,rsrp_excl_frac,rsrp_excl_frac
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
scheme,fraction,,,,,,,,,,,,,,,,,,,,,,,,
random,0.0,0.7359410526315789,0.06454347869970507,25.43430330396243,2.2610501947055686,0.21368,0.0669276624423713,0.06880992440252302,0.022922868618275,2.1115398000000063,0.12797191872917302,47.623687599999975,25.08217941264638,0.9060120402610927,0.024929117780664325,,,,,,,,,,
random,0.1,0.8202547368421053,0.0551730179147124,26.991510748194962,3.0829504807696284,0.13879999999999998,0.06000483313867309,0.044683944651465794,0.02121531586990864,2.7826351999999055,0.3559968244201177,20.907474799999903,20.81928396735833,0.8743151924197365,0.050322909911984084,,,,,,,,,,
random,0.25,0.8665094736842105,0.02267638477784312,23.483098821763555,0.6817559797833131,0.09792000000000001,0.02204477262300521,0.03149138241596966,0.007219199142823157,3.9309763999998637,0.27259772314589803,6.955349000000143,0.33667080943755384,0.6961159179086972,0.06882022445288433,,,,,,,,,,
random,0.5,0.8746063157894737,0.017962898975727403,23.12835705454662,0.5223974543266768,0.09208000000000001,0.02612454784297711,0.02842720495653499,0.007336956473313162,5.99312180000009,0.2674963065439011,10.77000460000015,0.4333948686576454,0.3881289085624397,0.04554186304773521,,,,,,,,,,
random,1.0,0.8731115789473683,0.01655424157511974,23.04929668941419,0.6120702033065528,0.09892000000000001,0.015552234566132292,0.03013828675231752,0.004866041590178176,10.092280400000053,0.8435404115848865,17.438188399999976,0.09963270926388561,0.1850970282840928,0.016416755873150828,,,,,,,,,,
sensing,0.0,0.908738947368421,0.019815351781005217,24.644736847862152,1.186843415623088,0.00536,0.007351734489220894,0.0017434167089254403,0.0018511735382550451,2.675656800000059,0.3247195206276068,5.541013800000005,0.4663278500071615,0.8918292247264035,0.05445873491751336,107.6,3.0495901363953806,0.0,0.0,0.0,0.0,0.057643402196954095,0.001088995746999464,0.09464721417292399,0.0019021161010579278
sensing,0.1,0.9310210526315789,0.00976811762232911,22.02499442821403,0.3075231882634745,0.00368,0.008228730157199226,0.0016080828657919252,0.0026644953150158526,3.222360800000068,0.2569423806144567,5.996171999999955,0.4618247547018192,0.8448880841635864,0.07574739952606681,107.6,3.0495901363953806,0.0,0.0,0.0,0.0,0.057643402196954095,0.001088995746999464,0.09574668161072941,0.0011198233475775146
sensing,0.25,0.9423936842105263,0.010141611164322458,21.32504032395152,0.1744427043806488,0.00464,0.006409992199683242,0.00194359597147119,0.002061128868417144,4.261397599999839,0.28297118755147144,7.351970999999935,0.1465432305754021,0.6414281694847792,0.07690236262066925,107.6,3.0495901363953806,0.0,0.0,0.0,0.0,0.057643402196954095,0.001088995746999464,0.09609725611459721,0.0011935985480635155
sensing,0.5,0.9484673684210527,0.00486161743658659,21.136650043823582,0.13760479193853203,0.0,0.0,0.00041007906228729266,0.00016567391159500393,6.163674999999724,0.18572037449729237,10.227627200000011,0.33466522398354714,0.37732333474136703,0.03119864555049754,107.2,2.5884358211089555,0.0,0.0,0.0,0.0,0.05785479427217943,0.0011809891956059743,0.09694634425077794,0.0006319472804185069
sensing,1.0,0.9475221052631578,0.0060743619069147685,21.116344820334085,0.0730159058647974,0.0,0.0,0.0004089420286585778,0.00022980707930590362,9.735505000000089,0.8546698822981076,16.956129200000003,0.3572698712412793,0.19295392887547264,0.02655961906931722,106.4,2.701851217221258,0.0,0.0,0.0,0.0,0.05829270820259898,0.0012756571432621527,0.09529719848529913,0.0012610240661526074
