fraction,scheme,run,prr,pir_ms,collision_frac,pssch_fail_frac,lat_p50_ms,lat_p95_ms,within_pdb,sel_count,backoff_frac,backoff_steps_mean,hd_excl_frac,rsrp_excl_frac
0.0,random,1.0,0.841842105263158,22.27755613567678,0.1048,0.03257608748245996,1.9166369999998878,5.528651000000107,0.87631134729603,,,,,
0.0,random,2.0,0.7110947368421052,25.505778044921264,0.2326,0.07807574206755373,2.171107999999755,61.717607000000285,0.8896882494004796,,,,,
0.0,random,3.0,0.6681052631578948,28.66622571072775,0.2882,0.09376472435998115,2.1338260000001164,64.64434600000013,0.9179139751063494,,,,,
0.0,random,4.0,0.7377578947368421,25.468577239078325,0.2174,0.06355886911442467,2.0756379999999908,63.00947599999951,0.9055602322827343,,,,,
0.0,random,5.0,0.7209052631578947,25.253379389408032,0.2254,0.07607419898819562,2.2604900000002814,43.218357999999846,0.9405863972198698,,,,,
0.0,sensing,1.0,0.9269368421052632,22.972796124562045,0.0,0.0005901646786439831,2.388612000000734,5.9721370000000995,0.8641479008392101,104.0,0.0,0.0,0.05863623555931241,0.09666858546807633
0.0,sensing,2.0,0.9283578947368422,24.355026846257267,0.0,0.00026072072276318625,2.421215000000032,5.4454979999998265,0.9395196952173617,107.0,0.0,0.0,0.057017300090417056,0.09288806346667788
0.0,sensing,3.0,0.8862631578947369,24.955821976618637,0.0128,0.00368021205594869,2.633825999999395,5.651204000000298,0.8525684423065503,106.0,0.0,0.0,0.05681693214295869,0.09246608667876699
0.0,sensing,4.0,0.9118315789473684,24.66499972238036,0.0,0.0003346681592097215,3.193983000000067,5.848843999999964,0.8418913926856298,112.0,0.0,0.0,0.05900843510481102,0.09501793571449557
0.0,sensing,5.0,0.8903052631578947,26.275039569492446,0.014,0.003851317928061621,2.7406480000000677,4.787385999999838,0.9610186925832653,109.0,0.0,0.0,0.05673810808727131,0.09619539953660317
0.1,random,1.0,0.8787684210526315,24.130654030092092,0.0628,0.016018009947903162,2.411911999999905,6.028650999999385,0.8333313369188937,,,,,
0.1,random,2.0,0.8511263157894737,26.025288389308322,0.1112,0.034900514436447407,2.671107999999922,5.9454979999999935,0.9184857217062221,,,,,
0.1,random,3.0,0.7323578947368421,32.25609713290137,0.2254,0.0736065617426966,2.6338259999998392,45.62865300000052,0.8385460085664185,,,,,
0.1,random,4.0,0.8134947368421053,25.997834898726396,0.1578,0.050157934196133375,3.3587399999999157,41.69210799999945,0.8421883491628064,,,,,
0.1,random,5.0,0.8255263157894737,26.547679289946647,0.1368,0.04873670293414844,2.8375899999999454,5.242464000000169,0.9390245457443417,,,,,
0.1,sensing,1.0,0.9332631578947368,21.98312371703105,0.0,0.0006086976125526974,3.2953159999999926,6.472136999999822,0.7999436047823144,104.0,0.0,0.0,0.05863623555931241,0.09726193442680997
0.1,sensing,2.0,0.9390842105263157,21.862605941284205,0.0,0.00026894673733989264,2.9348719999999773,5.9454979999999935,0.9256386401085044,107.0,0.0,0.0,0.057017300090417056,0.09460284881876402
0.1,sensing,3.0,0.9176736842105263,22.18266760350995,0.0,0.0004242340854889011,3.0407390000002366,6.128652999999318,0.7674095825829615,106.0,0.0,0.0,0.05681693214295869,0.09477783546457241
0.1,sensing,4.0,0.9405684210526316,21.645662981120655,0.0,0.00036918120084576054,3.6002290000007875,6.192108000000474,0.8043288492960584,112.0,0.0,0.0,0.05900843510481102,0.09566162981801096
0.1,sensing,5.0,0.9245157894736842,22.450911898124282,0.0184,0.006369354692732374,3.2406479999993465,5.242464000000169,0.9271197440480935,109.0,0.0,0.0,0.05673810808727131,0.0964291595254897
0.25,random,1.0,0.8800210526315789,22.784286055511856,0.0808,0.024947224781609732,3.843788000000181,6.916637000000225,0.7229850960503337,,,,,
0.25,random,2.0,0.8816842105263157,23.149496641920702,0.0878,0.028599262403451394,3.921215000000089,7.313318999999652,0.7399832855778414,,,,,
0.25,random,3.0,0.8339263157894737,24.345325315449884,0.1202,0.03582946925164604,3.9265669999997144,7.009721000000191,0.6110725420648044,,,,,
0.25,random,4.0,0.8515052631578948,24.06900168713426,0.1232,0.04196077502487091,4.3587399999998055,7.122788000000213,0.6363220550603884,,,,,
0.25,random,5.0,0.8854105263157894,23.067384408801068,0.0776,0.026120180618270233,3.6045719999995285,6.4142800000004385,0.7702166107901182,,,,,
0.25,sensing,1.0,0.9516631578947369,21.058056777750995,0.0,0.0006963557383028816,4.09360999999997,7.593609999999806,0.6674851783028051,104.0,0.0,0.0,0.05863623555931241,0.09703827092967365
0.25,sensing,2.0,0.9456105263157895,21.415291223996135,0.0,0.00020033166019298615,4.073759999999815,7.313318999999652,0.7095054156045106,107.0,0.0,0.0,0.057017300090417056,0.0959220436426319
0.25,sensing,3.0,0.9251368421052631,21.52796777945038,0.0128,0.004462970934052242,4.5097209999998,7.324801000000214,0.5446591115965774,106.0,0.0,0.0,0.05681693214295869,0.0944687381153807
0.25,sensing,4.0,0.9465052631578947,21.29228390948342,0.0,0.0004557631810046799,4.622787999999822,7.19398300000007,0.5757579127649637,112.0,0.0,0.0,0.05900843510481102,0.09559098617593886
0.25,sensing,5.0,0.9430526315789474,21.331601929076676,0.0104,0.00390255834380316,4.007108999999787,7.334141999999932,0.7097332291550397,109.0,0.0,0.0,0.05673810808727131,0.09746624170936091
0.5,random,1.0,0.8628526315789473,23.22125655394469,0.109,0.03189956538170824,5.599925000000283,10.95581900000031,0.4418635859023313,,,,,
0.5,random,2.0,0.8759052631578947,23.00242655080877,0.0884,0.030683208107635855,6.219215999999861,10.66339900000024,0.40617226087897035,,,,,
0.5,random,3.0,0.8876842105263157,22.825079677317014,0.0752,0.020466477721507226,6.040738999999906,10.324801000000328,0.34114787145736986,,,,,
0.5,random,4.0,0.8953894736842105,22.61880232511124,0.0612,0.021409753459958814,5.86433200000025,10.483826999999835,0.3398932543321342,,,,,
0.5,random,5.0,0.8512,23.974220165551383,0.1266,0.03767702011186481,6.241397000000148,11.422177000000033,0.41156757024139295,,,,,
0.5,sensing,1.0,0.9505157894736842,21.105531203100657,0.0,0.0006197775441314814,5.955818999999973,10.416637000000506,0.4265052769133656,104.0,0.0,0.0,0.05863623555931241,0.09659049943269393
0.5,sensing,2.0,0.9408736842105263,21.36957911066008,0.0,0.00022370613961500175,6.163399000000069,10.637539000000196,0.3755300224874976,107.0,0.0,0.0,0.057017300090417056,0.0964761718032745
0.5,sensing,3.0,0.9464842105263158,21.1130256486819,0.0,0.0004335501083875271,6.2539719999996635,10.151204000000025,0.3429979091596601,106.0,0.0,0.0,0.05681693214295869,0.09645089118243932
0.5,sensing,4.0,0.9517789473684211,21.0927388470253,0.0,0.00026536050330042127,6.023007999999663,10.192108000000033,0.3605989891505104,111.0,0.0,0.0,0.05954004262827772,0.09786313227489674
0.5,sensing,5.0,0.9526842105263158,21.002375409649968,0.0,0.000508001016002032,6.422176999999252,9.740647999999297,0.3809844759958013,108.0,0.0,0.0,0.05726346093993129,0.09735102656058525
1.0,random,1.0,0.8715578947368421,22.911373287987463,0.1,0.027507634484378672,9.668728000000293,17.41191200000003,0.16721418391748594,,,,,
1.0,random,2.0,0.8857894736842106,22.621016267179932,0.086,0.028470490440565252,11.445498000000054,17.293106000000336,0.17315508021390374,,,,,
1.0,random,3.0,0.8469368421052632,24.088674770190437,0.1252,0.03833098271699376,9.651203999999858,17.54073899999975,0.18382033085173816,,,,,
1.0,random,4.0,0.8888421052631579,22.58487297821867,0.0902,0.025920841648690116,10.358740000000033,17.52300799999995,0.19257460918995736,,,,,
1.0,random,5.0,0.8724315789473684,23.040546143494453,0.0932,0.030461484470959817,9.337232000000029,17.422176999999817,0.20872093724737878,,,,,
1.0,sensing,1.0,0.9454421052631579,21.157371228856203,0.0,0.0008009878850582385,9.308433000000171,16.528650999999783,0.1616620461605264,103.0,0.0,0.0,0.059205519399693984,0.09499906171308226
1.0,sensing,2.0,0.9537157894736842,21.01231090489398,0.0,0.00019862945674843578,11.163398999999963,16.96127000000036,0.1961855567696434,106.0,0.0,0.0,0.05755519914787388,0.09670454915044246
1.0,sensing,3.0,0.9380421052631579,21.206205444800755,0.0,0.0003253199914743726,9.00972099999997,17.449578999999993,0.1788046771551047,105.0,0.0,0.0,0.05735804578241532,0.09640009593581012
1.0,sensing,4.0,0.9496421052631578,21.11676729561313,0.0,0.00033242470580413535,9.85874000000031,17.122788,0.19481023321805443,110.0,0.0,0.0,0.0600813157430804,0.0947515463591666
1.0,sensing,5.0,0.9507684210526316,21.08906922750636,0.0,0.0003873481042077071,9.337232000000029,16.718357999999878,0.2333071310740343,108.0,0.0,0.0,0.05726346093993129,0.09363073926799426
