,,prr,prr,pir_ms,pir_ms,collision_frac,collision_frac,pssch_fail_frac,pssch_fail_frac,lat_p50_ms,lat_p50_ms,lat_p95_ms,lat_p95_ms,within_pdb,within_pdb,sel_count,sel_count,backoff_frac,backoff_frac,backoff_steps_mean,backoff_steps_mean,hd_excl_frac,hd_excl_frac,rsrp_excl_frac,rsrp_excl_frac
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
scheme,config,,,,,,,,,,,,,,,,,,,,,,,,
random,default,0.06802315789473684,0.017864324621513838,690.1153682648292,55.63226145880178,0.943112,0.002913746728869889,0.8501678644266963,0.032181480021512235,15.791164400000124,9.55775504002221,152.95012575999993,16.788813173907137,0.5584977621112969,0.09817965567274438,,,,,,,,,,
random,retx1,0.5852673684210526,0.037827972326106886,35.75724393682407,2.217083352854309,0.41424000000000005,0.041465503735032556,0.1622259373216442,0.0235456762064013,12.990507399999808,1.4135879521623769,108.42797819999994,3.3776397303935477,0.8599819940459138,0.01492773827212304,,,,,,,,,,
random,retx1-sub10-mu1,0.8731115789473683,0.01655424157511974,23.04929668941419,0.6120702033065528,0.09892000000000001,0.015552234566132292,0.03013828675231752,0.004866041590178176,10.092280400000053,0.8435404115848865,17.438188399999976,0.09963270926388561,0.9580065419312559,0.005899735811831536,,,,,,,,,,
random,retx2,0.32337473684210527,0.014769776356763433,82.89656447537169,16.78395202000923,0.66798,0.01951478926353039,0.4524325273920148,0.014730871273412958,10.477932000000134,1.4087856316123952,126.781934,3.285441302145316,0.7497378837787619,0.01773396667116372,,,,,,,,,,
random,retx2-sub10,0.6646905263157895,0.021918185318256424,31.20291376668585,1.1167437867755288,0.17014,0.014489755001379423,0.08828551385367603,0.01323491906887591,9.051505399999904,0.8443753578067745,72.5003826000001,7.553914322585823,0.9179873024715954,0.006467366857540495,,,,,,,,,,
random,retx2-sub10-mu1,0.7475094736842105,0.027590822674303767,27.117785449242938,1.1348154057191162,0.1928,0.023311906828914708,0.11311381373345786,0.018296549463068072,6.874596799999909,0.36668299862916215,70.9775726,13.583494855876829,0.9191044948164591,0.01317427133294957,,,,,,,,,,
sensing,default,0.17458526315789474,0.015581914013410858,177.46764918811613,25.658487746841118,0.868051038022546,0.013000045080453005,0.6921816580365644,0.0262928984131252,12.2794014000001,2.591036864135235,151.12336480000005,4.458407473109709,0.5716309192301225,0.026573909276455254,107.2,3.0331501776206213,0.8485074411961204,0.05177541215926663,14.556030229379285,1.1222484412983633,0.38479666545657476,0.022383060409670426,0.49616786236177807,0.022935375281787154
sensing,retx1,0.8889242105263158,0.011232122514346334,22.33638174945418,0.21729583792694784,0.029599999999999998,0.017490568887260357,0.010599040790600903,0.005647624852066545,11.675559800000013,0.5703859897166763,18.530858599999878,0.19885296362687208,0.9748745944071139,0.004374087715892172,106.6,3.0495901363953806,0.0,0.0,0.0,0.0,0.12202861411470678,0.004584938401669311,0.4856942521629379,0.011025618653750128
sensing,retx1-sub10-mu1,0.9475221052631578,0.0060743619069147685,21.116344820334085,0.0730159058647974,0.0,0.0,0.0004089420286585778,0.00022980707930590362,9.735505000000089,0.8546698822981076,16.956129200000003,0.3572698712412793,0.9888089335485546,0.0011665754186061712,106.4,2.701851217221258,0.0,0.0,0.0,0.0,0.05829270820259898,0.0012756571432621527,0.09529719848529913,0.0012610240661526074
sensing,retx2,0.5331747368421053,0.013494378844089558,41.31263248080476,4.455007908934538,0.4656762974142268,0.021624214924972872,0.248756219983746,0.010954098914977154,9.57539340000011,0.4729198796165772,108.26500960000001,1.6742244763770766,0.8404325958039494,0.010730653296046583,106.6,3.0495901363953806,0.5946490522658319,0.03584588589501513,8.572015440452883,0.7340135272465543,0.24369686786905342,0.009350609602942782,0.6169407139491285,0.004616563313329784
sensing,retx2-sub10,0.7728168421052632,0.011910749817657853,26.430324520440553,0.5368745869649555,0.015479999999999999,0.01287602423110488,0.007242892625675329,0.008191445007274973,8.591393399999703,0.4964961596652619,21.308311199999874,3.473350539820875,0.9522801813853443,0.004917684062463923,106.6,3.0495901363953806,0.0,0.0,0.0,0.0,0.24405722822941384,0.009169876803338663,0.17062717140883646,0.002953957873996029
sensing,retx2-sub10-mu1,0.8859031578947368,0.009544575115080983,22.703689113049762,0.33005995958586765,0.01704,0.005477955823115043,0.008248508039103276,0.006392798829184674,6.5886183999999135,0.1941710897887839,14.918646199999852,0.49317565127951973,0.9757160333244226,0.0035389220948935083,106.6,3.0495901363953806,0.0,0.0,0.0,0.0,0.11636890715927728,0.0021925636837451753,0.186423437923298,0.002731941192571565
