config,scheme,run,prr,pir_ms,collision_frac,pssch_fail_frac,lat_p50_ms,lat_p95_ms,within_pdb,sel_count,backoff_frac,backoff_steps_mean,hd_excl_frac,rsrp_excl_frac
default,random,1.0,0.06965263157894737,666.2617152794077,0.94408,0.8340730710398957,25.60679300000057,165.25110220000016,0.4848118482696086,,,,,
default,random,2.0,0.062189473684210524,603.8404881036321,0.94256,0.8590312574564543,10.618097000000049,157.63538999999938,0.5688896411645227,,,,,
default,random,3.0,0.09675789473684211,729.8350812590014,0.93888,0.8042631119439535,5.857338000000212,123.89678900000067,0.7211705831157529,,,,,
default,random,4.0,0.048231578947368424,737.7914617585974,0.94696,0.8886945537579556,26.487134999999995,154.66583359999944,0.48035792230467045,,,,,
default,random,5.0,0.06328421052631579,712.848094923507,0.94308,0.8647773279352227,10.386458999999792,163.30151400000003,0.5372588157019295,,,,,
default,sensing,1.0,0.19109473684210526,157.44189777890577,0.8659932298103272,0.6651912507838147,11.876194000000062,150.173031,0.5799272887517902,104.0,0.8653846153846154,14.048076923076923,0.3865918803418803,0.5333962912087913
default,sensing,2.0,0.1546421052631579,199.3514709140731,0.8874067850015754,0.7306923796080732,11.618097000000382,157.97480700000023,0.5505411476414132,106.0,0.8867924528301887,15.88679245283019,0.396417340521114,0.4943096735549566
default,sensing,3.0,0.18221052631578946,165.45510356327273,0.8584579976985041,0.6771666759917193,9.893841000000236,145.59810800000017,0.6095320623916811,106.0,0.7830188679245284,13.377358490566039,0.35394953578915844,0.49477294848757114
default,sensing,4.0,0.1616736842105263,210.45224845341244,0.8548333333333333,0.7066205684596577,16.70736099999992,151.66519899999997,0.5423530177745947,112.0,0.9017857142857143,15.616071428571429,0.41303500566893425,0.4709458262471655
default,sensing,5.0,0.18330526315789475,154.6375252309166,0.8735638442689899,0.6812374153395571,11.301513999999901,150.20567899999992,0.5758010795911336,108.0,0.8055555555555556,13.851851851851851,0.37398956496178704,0.48741457231040564
retx1-sub10-mu1,random,1.0,0.8715578947368421,22.911373287987463,0.1,0.027507634484378672,9.668728000000293,17.41191200000003,0.9505785163892848,,,,,
retx1-sub10-mu1,random,2.0,0.8857894736842106,22.621016267179932,0.086,0.028470490440565252,11.445498000000054,17.293106000000336,0.966369578134284,,,,,
retx1-sub10-mu1,random,3.0,0.8469368421052632,24.088674770190437,0.1252,0.03833098271699376,9.651203999999858,17.54073899999975,0.9566860139947054,,,,,
retx1-sub10-mu1,random,4.0,0.8888421052631579,22.58487297821867,0.0902,0.025920841648690116,10.358740000000033,17.52300799999995,0.9557200378967314,,,,,
retx1-sub10-mu1,random,5.0,0.8724315789473684,23.040546143494453,0.0932,0.030461484470959817,9.337232000000029,17.422176999999817,0.9606785632412737,,,,,
retx1-sub10-mu1,sensing,1.0,0.9454421052631579,21.157371228856203,0.0,0.0008009878850582385,9.308433000000171,16.528650999999783,0.9872407228030329,103.0,0.0,0.0,0.059205519399693984,0.09499906171308226
retx1-sub10-mu1,sensing,2.0,0.9537157894736842,21.01231090489398,0.0,0.00019862945674843578,11.163398999999963,16.96127000000036,0.99033144597861,106.0,0.0,0.0,0.05755519914787388,0.09670454915044246
retx1-sub10-mu1,sensing,3.0,0.9380421052631579,21.206205444800755,0.0,0.0003253199914743726,9.00972099999997,17.449578999999993,0.9892160603272213,105.0,0.0,0.0,0.05735804578241532,0.09640009593581012
retx1-sub10-mu1,sensing,4.0,0.9496421052631578,21.11676729561313,0.0,0.00033242470580413535,9.85874000000031,17.122788,0.9881617451449853,110.0,0.0,0.0,0.0600813157430804,0.0947515463591666
retx1-sub10-mu1,sensing,5.0,0.9507684210526316,21.08906922750636,0.0,0.0003873481042077071,9.337232000000029,16.718357999999878,0.9890946934889231,108.0,0.0,0.0,0.05726346093993129,0.09363073926799426
