nodes,scheme,run,prr,pir_ms,collision_frac,pssch_fail_frac,lat_p50_ms,lat_p95_ms,within_pdb,n_rx
30,random,1,0.5803555555555555,185.84147219078596,0.5489333333333334,0.43503655951196296,8.145834000000018,114.52636199999944,0.7952979016694747,26116
30,random,2,0.5814888888888888,190.54480859467333,0.56,0.4174236352302075,8.58743800000017,111.23736300000031,0.81541636412275,26167
30,random,3,0.5511111111111112,206.9798756309971,0.566,0.45472934347654015,9.055102000000037,118.81277899999975,0.7761290322580645,24800
30,random,4,0.5384666666666666,208.11326883037623,0.5724,0.46824525983146065,9.462298999999952,119.4567740000001,0.772110106887871,24231
30,random,5,0.5869777777777777,191.7796702323613,0.5585333333333333,0.4296387467340373,8.081805999999858,116.25295299999917,0.7976451881577951,26414
30,sensing,1,0.766711111111111,133.49846556803192,0.3332,0.22206940091542468,7.3962380000001104,33.19759899999974,0.8940061445713292,34502
30,sensing,2,0.7460444444444444,136.57926038399168,0.32397003745318353,0.25102623594502943,8.31179099999968,105.1552529999995,0.8794233289646134,33572
30,sensing,3,0.7115333333333334,151.76564235757758,0.3856,0.25577016944425074,8.772998999999615,105.7941480000002,0.8576782535369625,32019
30,sensing,4,0.7445777777777779,133.35917338769428,0.28899572649572647,0.2233914333395142,8.873942000000135,103.83788000000038,0.8804094788993017,33506
30,sensing,5,0.7386444444444444,132.52761421107488,0.3406666666666667,0.24876825023730958,8.028441000000441,103.25295300000015,0.8934083456180992,33239
45,random,1,0.43685580672533736,262.3388302502054,0.7212444444444445,0.5799801997667101,10.133084000000459,123.41422200000008,0.7217269544924154,42850
45,random,2,0.43809607499030745,268.25284982749685,0.7104,0.5804714528644866,10.748036999999933,122.42799300000007,0.7211778134973327,42927
45,random,3,0.507195276197899,207.63884352044136,0.7018666666666666,0.5409073355523272,9.38993900000007,118.70042400000003,0.7658121369917885,49930
45,random,4,0.4393722236762454,259.86815807390803,0.7093333333333334,0.5754964996406101,10.15089700000038,122.69948399999997,0.7157933801869506,43113
45,random,5,0.4483520269250615,275.34118737022567,0.7247111111111111,0.5770318361065692,9.448233000000528,122.37681700000013,0.7342186647262143,43976
45,sensing,1,0.6028786249747975,185.58783196192522,0.6126222222222222,0.4381083519301078,8.722539999999945,116.56198199999946,0.7859050194355247,59170
45,sensing,2,0.60009548126742,183.5412168492492,0.6161166948323401,0.43650469191203733,9.766427999999827,112.45114899999997,0.7852502994820226,59269
45,sensing,3,0.6247841632565593,169.31311910543653,0.5954096610621831,0.42108869718673436,8.969351999999375,111.45854599999971,0.8071572188351278,61672
45,sensing,4,0.5911393091928403,180.41695898877128,0.6230222222222223,0.4457053637731107,9.04979199999989,111.97877000000034,0.8045068874308681,58222
45,sensing,5,0.5872319177804227,182.49422844837727,0.6291555555555556,0.46076053289547336,8.153445999999676,112.16034300000021,0.7986851211072664,57800
60,random,1,0.40845069139250284,291.4936939517465,0.7966,0.6480012536068214,11.119797000000098,122.49876300000028,0.6868581428549498,65143
60,random,2,0.4067257454273073,289.7530876887495,0.7953333333333333,0.6392624044375308,9.780478999999787,122.78153199999942,0.6935424467497391,65164
60,random,3,0.3833760257487002,369.25907354527465,0.8120666666666667,0.6611019487731816,11.472819000000634,124.07512799999942,0.666815638759228,60414
60,random,4,0.38738471017140763,352.1987683794366,0.8135333333333333,0.6638337278625285,10.865284000000308,124.78618799999985,0.6449656881122756,61349
60,random,5,0.40140453557674677,334.32142680651316,0.8186,0.6479785877594091,10.168632999999705,123.20880800000023,0.7034550592496605,64051
60,sensing,1,0.5114314885745332,244.55618954024902,0.7865243495663776,0.5801663879685504,9.871595999999982,123.01433900000004,0.7098857058037702,80844
60,sensing,2,0.5194479485796842,237.66275718702516,0.788,0.5717931420383531,9.333919999999996,122.08151000000012,0.7252054761061515,81883
60,sensing,3,0.5031501563004418,273.9538536231748,0.7792666666666667,0.5696785408731002,10.283653000000115,121.37734200000017,0.7246697987767042,78967
60,sensing,4,0.515911381142412,230.99860517552395,0.7858619539846615,0.5773864110045852,10.263001000000216,121.494298,0.7266854071115056,81108
60,sensing,5,0.5093415717419041,244.46799643564822,0.7833333333333333,0.5649858965748825,9.94985500000034,120.9498550000001,0.735558931416503,80967
15,random,1,0.6975111111111112,146.46059051747014,0.32106666666666667,0.2588079720411826,9.95636000000033,107.04356099999978,0.8760035682426405,7847
15,random,2,0.6957333333333333,143.40868026098556,0.30906666666666666,0.2829791132282887,8.093655999999783,103.90049200000018,0.8608662322729015,7827
15,random,3,0.7292444444444445,136.30392653319194,0.2949333333333333,0.22000380300437344,7.606626999999921,104.25595099999984,0.894563627498781,8204
15,random,4,0.6832888888888888,142.55431043659866,0.32986666666666664,0.271995454114973,7.899722000000331,107.88039400000038,0.832184207102901,7687
15,random,5,0.7056888888888888,138.66588779669817,0.316,0.2682274864042769,8.13425199999962,104.66160399999995,0.8766847209976067,7939
15,sensing,1,0.8241777777777777,116.9113176500671,0.08906666666666667,0.05887129516849371,7.740382000000157,22.169715999999617,0.9447799827437446,9272
15,sensing,2,0.8028444444444445,116.34470395294645,0.1352,0.09625775465279167,8.443379000000029,24.83871999999998,0.920615589016829,9032
15,sensing,3,0.8185777777777777,115.63644108238721,0.1152,0.07475133125690747,6.899365999999851,18.99387800000074,0.9505918123574764,9209
15,sensing,4,0.7980444444444444,123.5062943790044,0.12453333333333333,0.09705320325857388,7.307838000000011,24.161088000000053,0.9401871240810871,8978
15,sensing,5,0.8338666666666669,113.02613631066444,0.08853333333333334,0.049544072948328265,7.720903000000057,20.720902999999957,0.9414774544291653,9381
