nodes,scheme,run,prr,pir_ms,collision_frac,pssch_fail_frac,lat_p50_ms,lat_p95_ms,within_pdb,sel_count,backoff_frac,backoff_steps_mean,hd_excl_frac,rsrp_excl_frac
10.0,random,1.0,0.8224444444444444,125.1112924940194,0.2216,0.14723502304147465,8.407435000000074,33.49967900000017,0.9059713590921372,,,,,
10.0,random,2.0,0.8128888888888889,128.4239340634257,0.232,0.1856634016028495,7.9190580000005895,104.27740100000005,0.8747949699289229,,,,,
10.0,random,3.0,0.7366666666666667,144.5619965189667,0.2524,0.22201361182820933,9.745938999999204,108.78996900000004,0.8603318250377074,,,,,
10.0,random,4.0,0.8411111111111111,136.1787107318763,0.244,0.14982030548068284,9.928004999999906,24.733931000000098,0.8898282694848084,,,,,
10.0,random,5.0,0.8326666666666667,126.3753285450665,0.2088,0.16268156424581007,8.394324000000175,32.07695700000013,0.9009874566319722,,,,,
10.0,sensing,1.0,0.8857777777777778,115.61002693002347,0.0952,0.027804878048780488,8.407435000000074,19.83991999999979,0.9498243853487205,58.0,0.0,0.0,0.30798045345459135,0.2331691656045104
10.0,sensing,2.0,0.9044444444444445,112.92852163547315,0.0456,0.02584968884633796,7.49814300000029,16.05241200000007,0.971007371007371,53.0,0.0,0.0,0.2996406109613656,0.19238544474393537
10.0,sensing,3.0,0.8711111111111111,117.04280752907178,0.0888,0.05564924114671164,8.825958000000078,21.82595799999998,0.9469387755102041,55.0,0.0,0.0,0.3023956435721141,0.20544981385222016
10.0,sensing,4.0,0.9117777777777778,111.93866720588403,0.052,0.03436102612379383,7.350627999999304,22.720146000000163,0.9215208384109188,55.0,0.0,0.0,0.2972125913302385,0.19301981515216826
10.0,sensing,5.0,0.8946666666666667,114.56228909786142,0.0488,0.05181347150259067,7.980138999999831,18.75521400000002,0.9595131644311972,51.0,0.0,0.0,0.3005014977333317,0.16941668321426107
20.0,random,1.0,0.6786842105263158,159.11038826511808,0.3876,0.33176141369124734,10.173030999999888,111.42010099999933,0.7816207832493215,,,,,
20.0,random,2.0,0.6928947368421052,154.85343159461013,0.416,0.3494267641826448,8.39915400000013,112.57500199999981,0.8012913026965439,,,,,
20.0,random,3.0,0.6493684210526316,173.96815104983463,0.4264,0.3754176369342918,10.896788999999796,114.89384100000066,0.754093045874534,,,,,
20.0,random,4.0,0.6598947368421053,170.22158511253758,0.4266,0.36915723270440254,9.473758000000387,111.7214071499998,0.8005263997447759,,,,,
20.0,random,5.0,0.7095263157894737,150.64613456091018,0.3836,0.3241929015440144,9.204930000000111,109.9713910000002,0.8187078109932497,,,,,
20.0,sensing,1.0,0.8143157894736842,124.44613490181278,0.2112,0.15890187550964935,9.420100999999903,30.308070000000242,0.9265124095139607,105.0,0.0380952380952381,0.4380952380952381,0.29912554765495936,0.41300292300292296
20.0,sensing,2.0,0.8736842105263158,116.67958353956183,0.1428,0.0987567186057875,8.073114000000103,19.1834980000003,0.9536144578313253,104.0,0.0,0.0,0.28478506787330327,0.3830923518883077
20.0,sensing,3.0,0.8578947368421053,119.95073875273675,0.1398,0.10473993518976218,8.126769000000422,25.592934999999706,0.9089570552147239,103.0,0.0,0.0,0.2912569060484539,0.37301322321310904
20.0,sensing,4.0,0.8490526315789474,119.84200616665032,0.168,0.12705627705627706,9.09420900000013,25.56328299999988,0.9356558393255641,112.0,0.044642857142857144,0.6339285714285714,0.29602658371040724,0.40212872262832866
20.0,sensing,5.0,0.8308421052631579,126.09079668637662,0.164,0.1338746845166246,8.566334000000175,24.407504000000024,0.9092867097428101,107.0,0.009345794392523364,0.09345794392523364,0.2999397638278892,0.3879905536327335
40.0,random,1.0,0.45716666666666667,271.4623634103041,0.6677,0.5595588053654801,11.250227999999751,125.01505000000002,0.6708264393280798,,,,,
40.0,random,2.0,0.44298717948717947,267.26948282268364,0.6594,0.5857252475841067,9.41785599999978,125.37340200000014,0.7039330882991347,,,,,
40.0,random,3.0,0.46924358974358976,247.94270547352147,0.6725,0.5662412154394947,10.716365000000394,123.6482480000003,0.6913472309499741,,,,,
40.0,random,4.0,0.4575769230769231,277.4752828284159,0.6807,0.5655809537720002,9.203851000000096,124.61135800000011,0.7053598946513127,,,,,
40.0,random,5.0,0.49365384615384617,237.63397485180548,0.6675,0.5404089232642246,9.64839400000006,121.81062199999992,0.7220880405142189,,,,,
40.0,sensing,1.0,0.6287948717948718,168.21581124848393,0.5224837255883825,0.412467955629028,9.270342999999848,116.33792700000001,0.7723973412714594,221.0,0.5972850678733032,8.248868778280542,0.2912512028828239,0.5678183823762077
40.0,sensing,2.0,0.6181153846153846,191.29759791907,0.5405,0.42092051214297727,8.664680999999952,114.51857200000015,0.7976894198660113,218.0,0.5688073394495413,8.564220183486238,0.28422075428618887,0.543158421130797
40.0,sensing,3.0,0.6625769230769231,165.25808562222443,0.5293,0.3891712367624811,8.552068999999829,110.94227100000076,0.8185600123836613,207.0,0.6038647342995169,8.980676328502415,0.28264194009078925,0.5437279877577192
40.0,sensing,4.0,0.5900897435897436,195.61986333286268,0.5330198118871323,0.4506665711864609,9.203851000000096,117.46148099999942,0.7719816629369718,216.0,0.5925925925925926,9.25462962962963,0.2860722191298172,0.5316725369651227
40.0,sensing,5.0,0.6357435897435898,165.58384231539858,0.5156,0.39024900092222564,8.314352000000191,114.19457600000004,0.7873074130838106,216.0,0.5509259259259259,8.083333333333334,0.2841591052375366,0.5581811893852335
5.0,random,1.0,0.943,107.99528247662701,0.0432,0.023809523809523808,6.402261000000742,12.539187999999868,0.985153764581124,,,,,
5.0,random,2.0,0.9,114.730236096609,0.0528,0.04051172707889126,10.77045799999965,18.619082999999925,0.9633333333333334,,,,,
5.0,random,3.0,0.872,126.1443994570757,0.1328,0.1349206349206349,4.26319899999994,24.263198999999958,0.944954128440367,,,,,
5.0,random,4.0,0.846,121.452689385619,0.1008,0.0794341675734494,9.96915999999981,30.23205999999967,0.8794326241134752,,,,,
5.0,random,5.0,0.892,116.49562771751613,0.104,0.05408271474019088,6.722384000000137,22.64507385000007,0.9316143497757847,,,,,
5.0,sensing,1.0,0.972,103.60968185802814,0.0,0.002053388090349076,8.402261000000077,16.32486100000019,0.9876543209876543,26.0,0.0,0.0,0.2856334841628958,0.06273052927464684
5.0,sensing,2.0,0.921,111.73700626647364,0.0544,0.032563025210084036,10.77045799999965,20.61908300000015,0.9315960912052117,27.0,0.0,0.0,0.32563424230090887,0.06546884185773072
5.0,sensing,3.0,0.941,107.65346081954601,0.0304,0.03881511746680286,4.883851999999855,14.883851999999642,0.9840595111583422,26.0,0.0,0.0,0.31135531135531136,0.06750610500610499
5.0,sensing,4.0,0.913,110.4806618361636,0.024,0.04497907949790795,9.338578000000375,26.1222133999993,0.9463307776560789,27.0,0.0,0.0,0.28631082062454616,0.10017247639796667
5.0,sensing,5.0,0.908,114.44852372265416,0.056,0.022604951560818085,6.722384000000137,20.64259299999982,0.9416299559471366,25.0,0.0,0.0,0.29714285714285704,0.06860317460317455
