config,scheme,run,prr,pir_ms,collision_frac,pssch_fail_frac,lat_p50_ms,lat_p95_ms,within_pdb,sel_count,backoff_frac,backoff_steps_mean,hd_excl_frac,rsrp_excl_frac
frac0.1,sensing,1.0,0.9332631578947368,21.98312371703105,0.0,0.0006086976125526974,3.2953159999999926,6.472136999999822,0.7999436047823144,104,0.0,0.0,0.05863623555931241,0.09726193442680997
frac0.1,sensing,2.0,0.9390842105263157,21.862605941284205,0.0,0.00026894673733989264,2.9348719999999773,5.9454979999999935,0.9256386401085044,107,0.0,0.0,0.057017300090417056,0.09460284881876402
frac0.1,sensing,3.0,0.9176736842105263,22.18266760350995,0.0,0.0004242340854889011,3.0407390000002366,6.128652999999318,0.7674095825829615,106,0.0,0.0,0.05681693214295869,0.09477783546457241
pdb10,sensing,1.0,0.9516315789473684,21.059828397780258,0.0,0.0006411461039319943,6.21457999999997,10.668728000000627,0.37130689674243683,104,0.0,0.0,0.10042735042735029,0.09271596459096443
pdb10,sensing,2.0,0.9472315789473684,21.18709084113124,0.0,0.00024442000244420003,6.56444200000017,10.730992999999689,0.3430384388856168,107,0.0,0.0,0.09618380062305287,0.09784527518172392
pdb10,sensing,3.0,0.9525684210526316,21.066019848476675,0.0,0.0004086997823949807,6.538610999999861,10.324801000000328,0.32861847194289123,105,0.0,0.0,0.0960317460317458,0.1000283446712017
pdb5-frac0.1,sensing,1.0,0.9269368421052632,22.972796124562045,0.0,0.0005901646786439831,2.388612000000734,5.9721370000000995,0.8641479008392101,104,0.0,0.0,0.24807692307692308,0.08940705128205129
pdb5-frac0.1,sensing,2.0,0.9283578947368422,24.355026846257267,0.0,0.00026072072276318625,2.421215000000032,5.4454979999998265,0.9395196952173617,107,0.0,0.0,0.21355140186915877,0.08046728971962613
pdb5-frac0.1,sensing,3.0,0.8862631578947369,24.955821976618637,0.0128,0.00368021205594869,2.633825999999395,5.651204000000298,0.8525684423065503,106,0.0,0.0,0.23411949685534605,0.11665094339622639
pdb5,sensing,1.0,0.9333052631578947,21.41436322906948,0.0204,0.006008968609865471,3.642511000000237,5.972136999999655,0.7531805467833619,104,0.0,0.0,0.24807692307692308,0.08870192307692304
pdb5,sensing,2.0,0.952021052631579,21.242277211692638,0.0,0.00022108730737768344,3.719215999999914,5.73099300000024,0.7958581190155016,107,0.0,0.0,0.21355140186915877,0.09352024922118374
pdb5,sensing,3.0,0.9316105263157894,21.659409009326147,0.0,0.0004066004811439027,3.633826000000173,6.038611000000138,0.6683615244680972,106,0.0,0.0,0.23411949685534605,0.1127987421383646
stock,sensing,1.0,0.9454421052631579,21.157371228856203,0.0,0.0008009878850582385,9.308433000000171,16.528650999999783,0.1616620461605264,103,0.0,0.0,0.059205519399693984,0.09499906171308226
stock,sensing,2.0,0.9537157894736842,21.01231090489398,0.0,0.00019862945674843578,11.163398999999963,16.96127000000036,0.1961855567696434,106,0.0,0.0,0.05755519914787388,0.09670454915044246
stock,sensing,3.0,0.9380421052631579,21.206205444800755,0.0,0.0003253199914743726,9.00972099999997,17.449578999999993,0.1788046771551047,105,0.0,0.0,0.05735804578241532,0.09640009593581012
